preset,freq_hz,magnitude_db,phase_deg,group_delay_samples
flat,5105.93262,0.000000000,0.000000000,-0.000000000
flat,5175.41992,0.000000000,0.000000000,-0.000000000
flat,5245.8584,0.000000000,0.000000000,-0.000000000
flat,5317.25488,0.000000000,0.000000000,-0.000000000
flat,5389.62354,0.000000000,0.000000000,-0.000000000
flat,5462.97705,0.000000000,0.000000000,-0.000000000
flat,5537.32324,0.000000000,0.000000000,-0.000000000
flat,5612.68701,0.000000000,0.000000000,-0.000000000
flat,5689.07617,0.000000000,0.000000000,-0.000000000
flat,5766.5,0.000000000,0.000000000,-0.000000000
flat,5844.98828,0.000000000,0.000000000,-0.000000000
flat,5924.53369,0.000000000,0.000000000,-0.000000000
flat,6005.16699,0.000000000,0.000000000,-0.000000000
flat,6086.89795,0.000000000,0.000000000,-0.000000000
flat,6169.73584,0.000000000,0.000000000,-0.000000000
flat,6253.70654,0.000000000,0.000000000,-0.000000000
flat,6338.82031,0.000000000,0.000000000,-0.000000000
flat,6425.09229,0.000000000,0.000000000,-0.000000000
flat,6512.53857,0.000000000,0.000000000,-0.000000000
flat,6601.16846,0.000000000,0.000000000,-0.000000000
flat,6691.01123,0.000000000,0.000000000,-0.000000000
flat,6782.07666,0.000000000,0.000000000,-0.000000000
flat,6874.375,0.000000000,0.000000000,-0.000000000
flat,6967.94287,0.000000000,0.000000000,-0.000000000
flat,7062.77051,0.000000000,0.000000000,-0.000000000
flat,7158.896,0.000000000,0.000000000,-0.000000000
flat,7256.3291,0.000000000,0.000000000,-0.000000000
flat,7355.08154,0.000000000,0.000000000,-0.000000000
flat,7455.18506,0.000000000,0.000000000,-0.000000000
flat,7556.65137,0.000000000,0.000000000,-0.000000000
flat,7659.49072,0.000000000,0.000000000,-0.000000000
flat,7763.74463,0.000000000,0.000000000,-0.000000000
flat,7869.40283,0.000000000,0.000000000,-0.000000000
flat,7976.50635,0.000000000,0.000000000,-0.000000000
flat,8085.06738,0.000000000,0.000000000,-0.000000000
flat,8195.09863,0.000000000,0.000000000,-0.000000000
flat,8306.64258,0.000000000,0.000000000,-0.000000000
flat,8419.68945,0.000000000,0.000000000,-0.000000000
flat,8534.28223,0.000000000,0.000000000,-0.000000000
flat,8650.43457,0.000000000,0.000000000,-0.000000000
flat,8768.15918,0.000000000,0.000000000,-0.000000000
flat,8887.49512,0.000000000,0.000000000,-0.000000000
flat,9008.45508,0.000000000,0.000000000,-0.000000000
flat,9131.05273,0.000000000,0.000000000,-0.000000000
flat,9255.33594,0.000000000,0.000000000,-0.000000000
flat,9381.29395,0.000000000,0.000000000,-0.000000000
flat,9508.97363,0.000000000,0.000000000,-0.000000000
flat,9638.39258,0.000000000,0.000000000,-0.000000000
flat,9769.5625,0.000000000,0.000000000,-0.000000000
flat,9902.53711,0.000000000,0.000000000,-0.000000000
flat,10037.3018,0.000000000,0.000000000,-0.000000000
flat,10173.9111,0.000000000,0.000000000,-0.000000000
flat,10312.3789,0.000000000,0.000000000,-0.000000000
flat,10452.7217,0.000000000,0.000000000,-0.000000000
flat,10594.9844,0.000000000,0.000000000,-0.000000000
flat,10739.1836,0.000000000,0.000000000,-0.000000000
flat,10885.335,0.000000000,0.000000000,-0.000000000
flat,11033.4961,0.000000000,0.000000000,-0.000000000
flat,11183.6523,0.000000000,0.000000000,-0.000000000
flat,11335.8633,0.000000000,0.000000000,-0.000000000
flat,11490.1455,0.000000000,0.000000000,-0.000000000
flat,11646.5166,0.000000000,0.000000000,-0.000000000
flat,11805.0391,0.000000000,0.000000000,-0.000000000
flat,11965.6953,0.000000000,0.000000000,-0.000000000
flat,12128.5498,0.000000000,0.000000000,-0.000000000
flat,12293.6211,0.000000000,0.000000000,-0.000000000
flat,12460.9268,0.000000000,0.000000000,-0.000000000
flat,12630.5215,0.000000000,0.000000000,-0.000000000
flat,12802.4238,0.000000000,0.000000000,-0.000000000
flat,12976.6543,0.000000000,0.000000000,-0.000000000
flat,13153.2812,0.000000000,0.000000000,-0.000000000
flat,13332.2861,0.000000000,0.000000000,-0.000000000
flat,13513.7402,0.000000000,0.000000000,-0.000000000
flat,13697.6631,0.000000000,0.000000000,-0.000000000
flat,13884.0771,0.000000000,0.000000000,-0.000000000
flat,14073.0547,0.000000000,0.000000000,-0.000000000
flat,14264.5771,0.000000000,0.000000000,-0.000000000
flat,14458.7197,0.000000000,0.000000000,-0.000000000
flat,14655.5039,0.000000000,0.000000000,-0.000000000
flat,14854.9531,0.000000000,0.000000000,-0.000000000
flat,15057.1309,0.000000000,0.000000000,-0.000000000
flat,15262.0605,0.000000000,0.000000000,-0.000000000
flat,15469.7637,0.000000000,0.000000000,-0.000000000
flat,15680.3242,0.000000000,0.000000000,-0.000000000
flat,15893.7197,0.000000000,0.000000000,-0.000000000
flat,16110.0352,0.000000000,0.000000000,-0.000000000
flat,16329.2949,0.000000000,0.000000000,-0.000000000
flat,16551.5234,0.000000000,0.000000000,-0.000000000
flat,16776.8066,0.000000000,0.000000000,-0.000000000
flat,17005.125,0.000000000,0.000000000,-0.000000000
